Season,Last_Date
19171918,1918-03-02
19181919,1919-02-15
19191920,1920-03-13
19201921,1921-03-07
19211922,1922-03-08
19221923,1923-03-05
19231924,1924-03-05
19241925,1925-03-09
19251926,1926-03-16
19261927,1927-03-26
19271928,1928-03-24
19281929,1929-03-17
19291930,1930-03-18
19301931,1931-03-22
19311932,1932-03-22
19321933,1933-03-23
19331934,1934-03-18
19341935,1935-03-19
19351936,1936-03-22
19361937,1937-03-21
19371938,1938-03-20
19381939,1939-03-19
19391940,1940-03-17
19401941,1941-03-18
19411942,1942-03-19
19421943,1943-03-18
19431944,1944-03-19
19441945,1945-03-18
19451946,1946-03-17
19461947,1947-03-23
19471948,1948-03-21
19481949,1949-03-20
19491950,1950-03-26
19501951,1951-03-25
19511952,1952-03-23
19521953,1953-03-22
19531954,1954-03-21
19541955,1955-03-20
19551956,1956-03-18
19561957,1957-03-24
19571958,1958-03-23
19581959,1959-03-22
19591960,1960-03-20
19601961,1961-03-19
19611962,1962-03-25
19621963,1963-03-24
19631964,1964-03-22
19641965,1965-03-28
19651966,1966-04-03
19661967,1967-04-02
19671968,1968-03-31
19681969,1969-03-30
19691970,1970-04-05
19701971,1971-04-04
19711972,1972-04-02
19721973,1973-04-01
19731974,1974-04-07
19741975,1975-04-06
19751976,1976-04-04
19761977,1977-04-03
19771978,1978-04-09
19781979,1979-04-08
19791980,1980-04-06
19801981,1981-04-05
19811982,1982-04-04
19821983,1983-04-03
19831984,1984-04-01
19841985,1985-04-07
19851986,1986-04-06
19861987,1987-04-05
19871988,1988-04-03
19881989,1989-04-02
19891990,1990-04-01
19901991,1991-03-31
19911992,1992-04-16
19921993,1993-04-16
19931994,1994-04-14
19941995,1995-05-03
19951996,1996-04-14
19961997,1997-04-13
19971998,1998-04-19
19981999,1999-04-18
19992000,2000-04-09
20002001,2001-04-08
20012002,2002-04-14
20022003,2003-04-06
20032004,2004-04-04
20052006,2006-04-18
20062007,2007-04-08
20072008,2008-04-06
20082009,2009-04-12
20092010,2010-04-11
20102011,2011-04-10
20112012,2012-04-07
20122013,2013-04-28
20132014,2014-04-13
20142015,2015-04-11
20152016,2016-04-10
20162017,2017-04-09
20172018,2018-04-08
20182019,2019-04-06
20192020,2020-03-11
20202021,2021-05-19
20212022,2022-05-01
20222023,2023-04-14
20232024,2024-04-18
20242025,2025-04-17
20252026,2026-04-16